id	tweet	class
	Another long mornin smhThank God a nicca out here to see it tho real shit	OFF
	Another major development in the Jihadi circles  Al Maqdisi  hardcore jihadi theorist asks specifically for relief    aid workers #8217  release	NOT
	Another nigga hoe is another nigga problem @JoseGuapo been had hits	OFF
	Another season of retweeting every one of @nikaaaa3 's Yankee tweets  #128514  #128514  #128514  #128514 	NOT
	Another woman ain't gon keep me coming Girl these hoes ain't got nothing on ya	OFF
	Any bitch who show up Friday looking like the bitch from the ring I'm punching straight in the face	OFF
	Any dope nigga or pretty chick is gon have people wantin their attention Y'all gotta grow up with thatyou got hoesshit	OFF
	Any man even considering plastic surgery is gay gay gay imagine ya boy sayI'd get more hoes then u after I get these new lips #128514  #128514  #128514 	OFF
	Any nicca gettin it n da ass is a fag  #8220 @CruellaDeTrill  Howw Please explain this twitter logic I'm confused  #128553  @Im_Yung_Jay @YuTwatching #8221 	OFF
	Any person that puts anybody else's business out there for whatever reason is a bitch	OFF
	Any pregnant bitches at centreville I should know about in about to move there next   #8212  Idk I dont go to cville http //tco/Hq4Q6zfwjh	OFF
	Any pussy I had I can get again	OFF
	Any solution to ZOG which doesn't deal with demographics - only laws - is no solution #NorthwestImperative http //tco/Vhy5s2apCn	NOT
	Any where the $$$ at is where the pussy go	OFF
	Anyone want some absolutely amazing and deliciously fresh perfect monkey bread  #128586  #128584 	NOT
	Anyone want to share their thoughts on their mock draft Just kidding SHUT YOUR FILTHY DAMNED MOUTH  YOU CLODS	OFF
	Anyone who came to the US as an indentured servant is white trash	OFF
	Anytime somebody say u wan hear a funny that shit gon be trash	OFF
	Apaches' 30 MM rounds turn Jihadis into tomato soup @MarkRothschild1 @Rockprincess818 @NoFear3136 @Lanna70115	OFF
	Apologizing in advance for my actions  I'm thee biggest bitch when I'm studying  #128522  #128299 	OFF
	Apolonia Gardner of Imperial  CA misspellsphalarope- a bird that resembles a sandpiper The dreaded schwa #spellingbee	NOT
	Apparently I got chunky for my bday Worse bday present ever Lol  #diettime	NOT
	Apparently im a honky Pfft Like that's a bad thing	NOT
	Apparently not wanting to trade your Nitro M4 in CSGO makes you a collossal faggot	OFF
	Apparently  saying something nice to someone these days means you're trying to stick them with your poker Get over yourselves bitches	OFF
	Apple need to add some colored emoji	NOT
	Apple sauce  bitch	OFF
	Appropriately this guy wears the WV yellow Rick James on his face @BarkingCarnival http //tco/SGb9rYvdmb	NOT
	Are pet guinea pig is about to die this fucking blows  /	OFF
	Are poor little guinea pig died  (	NOT
	Are you nigguhs saying you want Donald trump as prez That nigguh don't understand real american struggles  #128514 	OFF
	Are you single but your pussy is in a relationship	OFF
	Are you tired of themock drafts Let's just do this  If Clowney is not the 1st pick  who thinks Round 1 becomeschaos #ShowOfHands	NOT
	Aren't these little border jumpers supposed to be in school	NOT
	Argue to make up Not to break up    get back together that's retarded in my eyes	OFF
	Arguing over a bitch with a glued on butt	OFF
	Arod like ugly bitches that like to fuck	OFF
	Arroz con pollo	NOT
	Arturo keeps calling me ghetto  #128532 	OFF
	As Chanice say that  I realize the coons move from drinking Moet to Belaire All yuh feel all yuh so fancy with all yuh $30 champagne eh	NOT
	As I tweeted before any man telling me to go to the kitchen this season could tell his mom that  father probably wouldn't of leftbitch	OFF
	As a girlfriend I'm NEVER getting close to my boyfriend friends   cause they can be telling me one thing   and telling these hoes another	OFF
	As a girlfriend  you gotta accept the fact hoes gone be all up in his face But as a boyfriend  he better let them hoes know wassup	OFF
	As a man  I feel like you a bitch if you living off a female  Havin her buy all yo shit fucc that never be dependent on someone	OFF
	As always Eli has the stupid hick hayseed look on his face Giants fans kill yaselves it's gonna be a #8230  http //tco/JcYZzMKCfu	OFF
	As good as Percy Harvin and Peyton on the same team sound #8230  That #8217 s so retarded lmao	OFF
	As if it WASNT gon get Bacc to me  #128514  #128557  bitch your outta your fuccing mind	OFF
	As long as you gon feed me pussy when I get the munchies  #128586 	OFF
	As of today im cutting muthafuckas off bitches/niggas that never show love or just temporary people iont need um	OFF
	As soon as a Democrat gets a chance to  the political hack #foxnews goes to commercial then back with Bolton LMAO #teabaggers #benghazi	NOT
	As soon as a bitch think shit sweet Give em wat they been asking for	OFF
	As soon as bitches get on a come up you got that one bitch that CANT Wait to tell ppl your downfall before the come up  #128528  #128528  #Haters	OFF
	As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up Pisses me off	OFF
	Asha had a little voice in my head telling me to fuck with these hoes Wasn't kendra  #128524 	OFF
	Asha my bitch doe  #128553  #128076 	OFF
	Ask a bitch in 2014 if she would rather have JESUS than silver    gold I bet u she tell a lie	OFF
	Ask around n the streets bitch bout Jay	OFF
	Ask the governor how we are supposed to pay for this Typical #teabagger mentality Government is EVIL until we need them LOL #morningjoe	NOT
	Ask tht bitch when she gon let a yung nigga blast tht ass	OFF
	Ask your bitch about me she turns into dori  #128032 	OFF
	At 6'0 Good luck Nh nh RT @UnnagroundKing  I'm 6'0  150 One of you bitches better reproduce with me I can give you an athlete	OFF
	At Dunkin donuts and every time somebody walked in I either yelled ratchet or hoe and so me and my brother got kicked out  #128514  #128514  #128514 	OFF
	At a point where I've got to make a tough life decision Ice black translucent sole or solid black sole on my KD VI's Blk or orange airbag	NOT
	At all my ritz crackers Idk what to do with myself anymore	NOT
	At least ima a faithful bitch  #128524 	OFF
	At pussy cat lounge killin it with my girlz @blaqdior and @hpmiss	NOT
	At the MLK march tryna find a man bitch we see U	OFF
	At the Mexican laundry mat and it's PACKED denna hoe	OFF
	At the bar in downey wit my uncle  this niggah faded hopefully he doesnt get us into a fight lmao	OFF
	At the doctors with sam shes such a pussy the had to put a cotton swab in her nose and she just about started to cry -_- @SamRomero95	OFF
	At the end of the day seniors still love that young fresh pussy from west case closed	OFF
	At this rate  I'd cheer for the awful New York Yankees over the St Louis Cardinals	NOT
	At work but wish I was floating in my 15 ft  on sale at Walmart  redneck pool that my husband probably hasn't cleaned since last weekend	NOT
	Ate the receivers really fast or is pass coverage trash	NOT
	Attention one and all @JordanWright23 just motoroboated my knees Someone get this jiggaboo some water She #thirsty	OFF
	Auburnnn hoe	OFF
	Audio  Happy Valentines Day bitches  #160 Now play this while you get laid http //tco/x70OTlH3	OFF
	August alsina   ghetto  #128158 	OFF
	Austin is a funny niggah	OFF
	Autocorrect makes myhow's lifechange to hoes life What the duck	OFF
	Average is basic and basic is trash  #128514  #128514 	NOT
	Aw man  that bitch she go hard Put it on me I'm likeOh Lord No panties  baby  no bra 	OFF
	Awe did I cut you off and make you mad That's too dam bad  shoulda been going the fucking speed limit bitch	OFF
	Awk U don't like your own nephew / cousins bc our race LMAO broke ugly bitches fuck them we don't need them	OFF
	Awwwwww RT @Tyga  That ain't my hoe	OFF
	Awwwwww they no Kaep ain't rape no bitch	OFF
	Ay cuh its HOT AF  Im finna go buy yo bitch some ice cream  Lol	OFF
	Ay fuck wieners  remember to eat before you drink and remember to drink water while you're drinking and also to go eat shit you pussy head	OFF
	Ay what are some good bars/clubs to hit up in Denver Should be up there Saturday night to coon out	NOT
	Ay yall heard that Rich Gang tape thou That bitch on Flame #128293 	OFF
	Aye a nicca is tired tho	NOT
	Aye it's a lot of niggas out here that can't fuck a bad bitch unless they get her drunk smh #Preach	OFF
	Aye my NIGHA #YeaYouReadinDis Gone let ya bitch fuck wit my team @TwinzNControl donjuuuan #8230  http //tco/qloMazph9A	OFF
	Aye the part be treating the bitches too good  #128514 	OFF
	Aye we all needa keep are heads up high who cares if we lost we all went and tried our best   south is a bunch of trash talking pussys  --	OFF
	Aye  Mcdonald'ss got a fire ass frozen strawberry lemonade This bitch so wet	OFF
	Ayee hoe	OFF
	Ayo I jus had a mini heart attack behind the wheelnorth Philly n fire crackers don't mix #128553  #128553  #128514  #128514  I #8230  http //tco/o5v2E4LFtm	NOT
	Ayo twat boy I gotta new phone give me yo jack now @Jay050709	OFF
	Ayo why da hell ain't nobody hip me to these niccas @MigosATL  #BetterLateThanNever	OFF
	Ayo @theofficialeg10 unblock me so i ca tell you how garbage yo bitch ass playing	OFF
	Ayy Carlton is a ghetto school now #SwitchedAtBirth	OFF
	Ayy yo @Ray_Lakee my nigga @who__CHRISJONES be all up on da pussy not lettin dat muafucka breathe	OFF
	Ayyyyy I'm sipping on a free slurpee and seeing The Front Bottoms tonight I'm a happy clam	NOT
	BASICALLY  #GOP  #ROMNEY  right wing reactionaries  drudgies  teabaggers  libertaritards  all hate our education system and teachers	NOT
	BC y'all hoes	OFF
	BF  I think we need some pet insurance GF  LMAO  why  what for BF  Because I'm destroying your pussy everyday	OFF
	BITCH RT @jla_b  Stop thinking ur entitled to politically correct responsesbitch	OFF
	BREATHE RT @thaELLEword_  You are going to kill yourself if you don't EXHALE RT @BrokeHomieLyn  Killin you hoes http //tco/QZc87drA9a #8221 	OFF
	BROS BEFORE HOS  and there I was with my bros  without any hos	OFF
	BRUH lmaoo  #8220 @NoBeeetch  Them hoes was nasty but I kept eating them@roblockk  What the fuck happened to these http //tco/G9w10SmQdr8221 	OFF
	BRUH RT @coldhearted9_  Them ugly hoes say a nigga arrogant	OFF
	Baby I can make that pussy raaain OFTEN	OFF
	Baby I can make that pussy rain  often	OFF
	Baby I can make that pussy rain Often	OFF
	Baby I'll whisper Vietnamese to you all soft like ching chong ting o long	NOT
	Baby girl your pussy looking so vacant	OFF
	Baby moanin   got me zone'nn  #128553  I want this bitch next me   pussy like ecstasy  #128166  	OFF
	Baby pussy cant be your only hustle Unless u bad as Naomi RussellI mean a lot of ppl got moneySo basically Russell aint the only Russell	OFF
	Babydaddy needing bail money say thats wat she gone do talk a whole alotta shit but swear that bitch gone come through	OFF
	Back #InHighSchool me and @NTGOnline used to have to stiff-arm bitches that kept tryna steal our fitteds	OFF
	Back in America  and I've become a basic bitch again	OFF
	Back in this bitch again	OFF
	Backdoor is open  them hoes will let you fuck em in the ass Usually an extra charge plus the rate you agreed upon	OFF
	Bad Asian bitch yea she look just like Kemora	OFF
	Bad bitch contest you in first place  #128175  http //tco/c1cPZMzEQR	OFF
	Bad bitch give good head  dumb bitch get hood rich	OFF
	Bad bitch good head I think she ah keeper 	OFF
	Bad bitch http //tco/XSpkccaypi	OFF
	Bad bitch on my line tryna give me brains	OFF
	Bad bitch pussy aquafina call her Crystalina	OFF
	Bad bitch selling molly I might take one	OFF
	Bad bitch with me and you kno that her ass is fat	OFF
	Bad bitch  chest outno wonder why Miss Righteous keeps on getting left out	OFF
	Bad bitches ain't cheap	OFF
	Bad bitches aint cheap better pass her if u broke 	OFF
	Bad bitches an good weed	OFF
	Bad bitches and good weed	OFF
	Bad bitches be all ova me  Besides pussy what could you offer me  #128175  #10006  #65039  #128175 	OFF
	Bad bitches every where	OFF
	Bad bitches from Oakland  she could beeee a model	OFF
	Bad bitches hate broke niggaz	OFF
	Bad bitches in dirty ass houses    	OFF
	Bad bitches in the pen make my toes curl	OFF
	Bad bitches is the only thing I like	OFF
	Bad bitches is the only thing that I like	OFF
	Bad bitches is the only thing that I like #BBLU this Saturday #BBLU #SuedeLounge #RICHGIRLS	OFF
	Bad bitches is the only thing that i like	OFF
	Bad bitches is the only thing that like	OFF
	Bad bitches only	OFF
	Bad bitches only  http //tco/ceyb1b3rF0	OFF
	Bad blood in the camp    if it's bout a bitch just know I don't respect it homie	OFF
	Bad chicks send em in Basic hoes toss em out  can't even get Waffle House Hating niggas chalk em out gone get the coffin out	OFF
	Bad foreign bitch she a walkin Ferrari	OFF
	Bad lil bitch ain't never seen her	OFF
	Bad lil short fine bitch lil petite sumn	OFF
	Bae gotta bitch  #128514  whoops  #128564 	OFF
	Bae juss the new side bitch lingo u aint special hoe	OFF
	Bae made me deep fried Oreos  #128523 	OFF
	Bags Bags that's that bag money trash bag black and it's filled up with money	NOT
	Bahaha omg  #128518  #128557  #128586  this bitch is crazyyy  http //tco/HFkTledkpa	OFF
	Baked Montreal chicken  cheesy brussels sprouts  garlic butter triple cheddar    chives yellow mashed #8230  http //tco/XsGW1kSqCW	NOT
	Bald head bitches think it's their time to prosper 	OFF
	Ball is life No bitch bench is life  #128075 	OFF
	Bands will make her dance   stamps will make her twerk   If Romney becomes president   these hoes will have to work	OFF
	Bang  bitch  you think I'm strange  bitch It's bananas like a fucking rangatang bitch  #vote5sos #EMABiggestFans1D	OFF
	Bank robber who wore zebra-print dress arrested  police say http //tco/UUQ0bw6vju	NOT
	Barkley is trash	NOT
	Barry's (whitey) brownshirts run wild in Oakland Following the lead of NWA  punks chant F the police http //tco/9nBUrmTJ	NOT
	Barry's hoe Michelle is walking in now Ugly beast she is #SOTU	OFF
	Baseball isn't the same without the Yankees in the playoffs    basketball isn't the same without the Lakers in em	NOT
	Baseball w/ @voxpulchra for her birthday for some reason Lol (@ Yankee Stadium) on #Yelp http //tco/9hIFDcZWQY	NOT
	Basic bitch no chill  #128514 	OFF
	Basic bitches    lame niggas  	OFF
	Basic bitches everywhere	OFF
	Basic niggah in his basic clothing	OFF
	Basically saying that the pound doesn't belong to us and it's English Greedy cunts	OFF
	Basically  sojust do you  shrugs  RT @CruzanChoklate  So if you're worried about being a ho or looking like one  good luck	OFF
	Bathing Sphere  Suspended Orb Tub Not for Shy People http //tco/OHv7xbr6wo #bathing #design #weird and yet #cool	NOT
	Bbl gonna go sob over gay bird babies	OFF
	Bc I got too many bitches  #128514  #128514  #128514 	OFF
	Be a dog to these bitches bt be a KING TO YA QUEEN '	OFF
	Be a girl with a mind  a bitch with an attitude and a lady with class	OFF
	Be fearful of the wrath of God in a country where many mock Christianity  embrace perversion  abortion  and bows to PC/multiculturalism	NOT
	Be mean or rude to my little sister again and I'll kick your ass It applies to all of you little snooty bitches K thanks	OFF
	Be my backbone every nicca need a spine	OFF
	Be trippin when I call you hoe but bitch you know I talk like Dat -- @1future voice	OFF
	Beans that were yellow before Friday night are brown now-a few green leaves curled-frost but not freeze-bean size reduced - top end shrinks	NOT
	Bears game today bitches Not to mention  lean and bud before the train ride lol  ) #Goodday	OFF
	Beat the pussy down like my nemesis	OFF
	Beat the pussy in so well her shit still hurting from a week ago	OFF
	Beat ya bitch pussy up every time I see her like a bully  Then send her outta town wit 4 cookies	OFF
	Beautiful Fairy Elegant Dress http //tco/ouxWbYTUt6	NOT
	Because I had to accept being called a bitch every time I asserted myself #YesAllWomen	OFF
	Because I'd rather wear my hair long and have piercings  I'm a faggot that will never go anywhere in life	OFF
	Because a nigguh but don't mean you're pussy is bomb	OFF
	Because at your local insurance agency  the customer is ALWAYS our bitch #itakeshitfromnoone  #128079 	OFF
	Because idk if your still tryna get with her again or not  #8212  bitch i might be http //tco/FPJQpcH99K	OFF
	Because if nobody was judging the birds  this account wouldn't even cause a ripple in d ocean	NOT
	Because of the message that sends to LGBTQ residents in the state Not as if West Virginia is a paradise for queer people Today is major	OFF
	Beefin ova bitches trade ya clip for Pom Poms	OFF
	Been Huntin hard and finally nailed her Best wedding koozie I've ever seen #redneck http //tco/D6SBSYaNN2	NOT
	Been a trill nicca since a Lil nicca	OFF
	Been a while since it's just been me solo at the crib  feeling kinda lonely like a hoe	OFF
	Been hooping all day tired than bitch	OFF
	Been schooling these bitches since 92' #128524 	OFF
	Been sleeping toooooo much  fuck it ima enjoy it before i start working 2 jobs like a hoe haha	OFF
	Been told by a lot of people that I'm cool then a hoe  and that they don't understand why someone wouldn't like me	OFF
	Beer ball isn't for pussies	OFF
	Before I let a pussy cut my hair I just will let it grow	OFF
	Before the madness with my single bitches  #128527  http //tco/FLDe7S4SLC	OFF
	Behind every independent woman  is a pack of hating hoes	OFF
	Being a girl sucks We have to deal with periods making us a bitch  shaving our legs on a daily basis  and worrying about what we eat	OFF
	Being a hoe ain't cute #ijs	OFF
	Being a hoe is cute in 2014	OFF
	Being a sober soul just wasnt interesting bitch im living #5spmg #GGL http //tco/W58Q6Hr20j	OFF
	Being coons  #8220 @FatTravis_6200  At @TiFFANY_P0RSCHE  Y'all are amazing8221 	NOT
	Being single and not texting no bitches late night almost wacker than coming home after the club drunk and fuckin your girlfriend	OFF
	Believe in the heart of the cards bitch	OFF
	Believe it or not hoes get boring after awhile	OFF
	Ben will gett ya some pussy ben will get ya some head	OFF
	Bengals kicker trash	NOT
	Benzino is a bitch point blank period	OFF
	Besides my sisters  this is one of two bitches you will always catch me with http //tco/FXZyCvvnPq	OFF
	Best behaved kids ever at mommy's commercial audition Oreo McFlurries for everybody #proudmom #8230  http //tco/9HFNSmaLcU	NOT
	Best of luck to Tino 'The Bambino' Martinez in Miami (your legacy is saved LOL) #Marlins #Yankees #RedSox #MLB	NOT
	Best rider That goes to a blaxican	NOT
	Bet Charlie Strong has contacted Ridley	NOT
	Bet they want a cookie  Bergbrain You mean like you want a cracker Kinda bitter here today aren'tcha #stribpol mngop #mnleg	NOT
	Bet you ain't gone @ em tho #128564  #128514  RT @_SelfMadePhat_  Na why OOMF just tweeted that  #128514  #128514  #128514  #128514  #128514  #128514     she know ha pussy WACK	OFF
	Betta ask round these streets bitch bout Jay	OFF
	Better keep ya shit n line nicca 	OFF
	Better nip that shit in the bud early	OFF
	Better play your part bitch don't be a smart bitch cuz I might have a change of heart	OFF
	Between the constant tweegrams and the bad bitches playing themselves out for attention and the stupid caption pics instagram lost me	OFF
	Between this trend and the vines acting like women its like niggas couldn't wait to be faggots http //tco/dKVnjmCarZ	OFF
	Beyonc #233  more of a hipster bitch wit no hips these days	OFF
	Big G-Day s/o to @MauricePrice17 #FreeBoosie nicca lol	OFF
	Big Red and fat squaw lol my hubby is so funny #insidejoke	NOT
	Big Squawk  Q  when will DFL dump RyanUncle TomWinkler  } Not going to happen Berg Bleat on #mngop proud #stribpol #mnleg	NOT
	Big bird holds press conf claimshe does not care for the letter f	NOT
	Big bitches be like  #8221  Im Thick #8221  yea bitch atound the midsection	OFF
	Big black bitches out here arguing	OFF
	Big boobs = no ass No ass = big boobs Big boobs and big ass = ugly face Big boobs   big ass   pretty face = hoe	OFF
	Big bro moose trying slide into these hoes DM's http //tco/eVb17DyunT	OFF
	Big greenmile tweetin ass nicca	OFF
	Big hair bitches  gt  gt  gt  gt  gt  gt  gt  gt  gt  gt 	OFF
	Big moe rn like a hoe haha yuhhhh	OFF
	Big night of  #127936  #hoosiers #iubb #big10 and #pacers #nba #indiana #hoosierstate #paulgeorge #codyzeller http //tco/UFmje1gk	NOT
	Big ol pussy Harrington blocked me again	OFF
	Big thick pretty bitch	OFF
	Biggest booth I ever seen lastnight bitch had a leopard print jumper on look like an over weight leopard	OFF
	Biggie was and always will be the flyest cunt in rap #biggie	OFF
	Bigots demand recount in #Idaho #gay rights ordinance referendum http //tco/TorYEXxMwi #tcot #teaparty #teabaggers #lgbt	NOT
	Bij vraag wat is d naam van de engels des doods dacht eerst RobertIk Israeluhm iets met Gargamel hoe heet die kat ook al weeroja Azrael	OFF
	Biker gang looking ass bitches with titty tats Foh sons of anarchy	OFF
	Bill Cosby stealing pussy	OFF
	Bill Romanowski is still a cunt Who saw that one coming	OFF
	Bill Smith DDS MTV ODB LGBTQ MMA NFL AFLCIO   bitch pick one  Fucking hate you  I know you proud but shit	OFF
	Birthday today bitches and I gotta work  /	OFF
	Bitch I want my number back yo pussy mustard oh yeah FUCK DAT BITCH TRUST ME #DRO	OFF
	Bitch I'm not about to eat ya pussy all day long  I got a life	OFF
	Bitch I'm the man that's right I said it  bitch I'm the man don't you forget it  #128527 	OFF
	Bitch ain't u his lawyer y u thank ery body STFU kill dat bitch to	OFF
	Bitch and who the fuck r u am speak when the fuck I feel like it and stop a pussy ass Nigga and box the fuck up	OFF
	Bitch ass nigga  be hating on black women Uncle Tom bitch punk	OFF
	Bitch ass people are the first to call someone out for being abitch	OFF
	Bitch bitch bitch	OFF
	Bitch don't talk yo shit then  say you on papers when a bitch trinna get down  #9995  #128514  #128557  you a straight FAG BITCH foe dat Scary ass hoe	OFF
	Bitch duck on whore ass slut cunt ha Biden it's Gucci Tho whatever Nigea @mdsaab1 @t_jawad89	OFF
	Bitch fuck yo nigga  what's up with that pussy	OFF
	Bitch fuk wat a hater gotta say brickk ent ya bitch http //tco/HuQVaNuWXH	OFF
	Bitch had a redbook account with all selfies on the add like bitch no tricks wanna see yo face	OFF
	Bitch i wouldn't eat yah pussy wit another nigga tongue	OFF
	Bitch just sucked my dick and tried to give me sugar bitch get out	OFF
	Bitch killa gone be dacing in that bitch cdfu	OFF
	Bitch nicca talmbout a mf 3peatDf y'all ain't da Lakers	OFF
	Bitch shutcho got damn mouf hoe RT @HURRICANESENSEI  Mallett ain't gon help yo funky ass texans	OFF
	Bitch you frooooontin  bitch you frooooontin Lol	OFF
	Bitch you're the ugliest cunt ever	OFF
	Bitch  you may have a million dollar body  but you got a dollar menu face and a four-piece nugget pussy  so you ain't worth shit	OFF
	Bitches ah have a baby    be likedon't claim my childbitch you good    goddamn well ain't NOBODY claiming your creature  #128125  #128514 	OFF
	Bitches ain't shit but hoes and tricks	OFF
	Bitches always like you got hoes I be like duhh I'm tryna make you one of em  #128514  #128514  nbs	OFF
	Bitches always think somebody want them or they little coochie lol chilling dont exist nomore  Iont want yall hoes	OFF
	Bitches be 17 in the 9th grade talking about where my bae at No bitch   where ya credits at	OFF
	Bitches be happy about burger king pollo tropical on lunch break at work but act like dinner with new niggaz gotta be upscale	OFF
	Bitches be having a nigga but want to be another nigga WCW bitch it don't work like that	OFF
	Bitches be in they feelings to much like live bitch	OFF
	Bitches be likeKeep Calm I'm Single first of all bitch  nobody was hype	OFF
	Bitches be likeNew Avi  gt  gt and I'm just like bitch  your new avi is UGLY  your old avi was UGLY  bitch YOU ugly	OFF
	Bitches be like I want something real  And I be like I want a bitch with real hair but we can't always get what we want now can we lol	OFF
	Bitches be like im nt beefing over a niggah smh	OFF
	Bitches be like niggas ain't shit  Naw bitch maybe you just ain't shit	OFF
	Bitches be mad they mane nigga gettin snatched up by all these whore yah pussy prolli wack ctfu	OFF
	Bitches be screaming fuck they nigga  but get mad when another bitch fuck they nigga #128533 	OFF
	Bitches be sounding damnear retarded on tbh videos  #128514  #128514  #128514  nbs	OFF
	Bitches be tamboutmy party no bitch  its everybody party	OFF
	Bitches be trying to squash all beef wen they find out they pregnant Some hoes dont give a fuck	OFF
	Bitches be watching me from other bitches pages  THATS RIGHT BITCH   TEAM WORK  #128079  #128079  #128079 	OFF
	Bitches be wearing extensions  fake eye lashes and make up talkin bout they bad bitches No bitch you are not bad you're a created player	OFF
	Bitches bitches bitches	OFF
	Bitches can't fuck with my bitches they deadly	OFF
	Bitches cheat on they bitch But be SOOOOOO HURT when they bitch cheat back	OFF
	Bitches complain about they baby daddies not being shit  but bitch you KNEW he wasn't shit you didn't HAVE to keep that baby you CHOSE to  #9995  #128514 	OFF
	Bitches corny with that not saving numbers shit I hate them hoes	OFF
	Bitches don't even go out to have fun anymore they just go out to tweet about the function and to take pics wit other bitches	OFF
	Bitches dont wann fxck me no more bitches wanna fxck all my bitches	OFF
	Bitches get on twitter an turn to saints like they not hoes that shit kill a nigga	OFF
	Bitches know they bitches  bitch	OFF
	Bitches love beefing over a nigga that's always in other bitches faces	OFF
	Bitches make me happy RT @AsaAkira  Material objects make bitches happy #iPhone6 http //tco/d1TbYtc7QB	OFF
	Bitches on me bout da lil flexin shit on snapchat  #128176  #128176  #128176  #128176  #128176  #128514  bitch please	OFF
	Bitches rather be petty with his hoes instead of posting bail now that ah really fck em uppsa	OFF
	Bitches so stupid Yal can't know how I'm bouta start popping bitches	OFF
	Bitches swear up and down they pussy the best  but ain't	OFF
	Bitches talmbout they limber got these bitches In limbo	OFF
	Bitches think they're slick but no matter how hard they try and hide it we can still tell if they're hoes or not	OFF
	Bitches will be bitches	OFF
	Bitches will be bitches	OFF
	Bitches with kids are retarded	OFF
	Bitches with trash pussy always want unprotected sex	OFF
	Bitches  bitches  bitches	OFF
	Bite me bitch   chew on a 19 footer	OFF
	Bitzy probably popped a Percocet before she had these drinks with Mellie She seems like that kind of of trill ol' bitch #ScandalABC	OFF
	Bjergsen just made a full AS rune page I don't just me full AS reds and Quints I mean AS reds  blues  yellows  and Quints 47% AS	NOT
	Blac Chyna's ass should've threw him off first of all It's wop sided and those cheek piercing trashy as hell	OFF
	Black Dynamite  #128514  #128514  #128514  #128514  #128514  #128514 All the hoes gone My dick harder than slavery wall-slides 	OFF
	Black bitches be boisterous belligerent buffaloes   #AlliterationTuesday #160  #Damnismartallofasudden	OFF
	Black bitches don't be kickin up in our school Bitches still comin wit durags still on they head nd shit	OFF
	Black cops want to kill white citizens Spic cops want to kill Anglo citizens Zigeuner cops are all rapists	OFF
	Black guy in class   attempts to throw a paper ball into the trash   misses   Mrs Mundy You're a disgrace to your race  Marcus  #128514  #128514  #128514 	NOT
	Black people like @ChiefKeef disgust me laughing at someone who died dumb monkey ass niggas like you need to be locked up just for stupidity	OFF
	Black twitter needs to get off Paul George dick about him impregnating a stripper Wiz did Tyga did Kanye turned a hoe into a housewife	OFF
	Blah blah Idgaf bout you crazy ass bitch	OFF
	Blah blah blah blah How it sound when these bitches talk  #128530  #128564 	OFF
	Blah In all honesty I just need some pussy That's it	OFF
	Blatt trash too  but twitter said he was good	OFF
	Blocked his fuzzy butt #128522  @odifass  @veritaz @TarekFatah @TarikSalym Ignore this low life creature	OFF
	Blonde bitch wit her blue eyes  like butter when she spread	OFF
	Blood this nigga Dion retarded	OFF
	Blow up the pussy like Hussein Bitch look at me crazy like who's sane @RavenxMiyagi	OFF
	Blows my mind how some guys have these model type girls then cheat on them with some ghetto hoe	OFF
	Blunt to the head  fuck Feds  I eat pussy till my tongue red	OFF
	Boats n hoes boats n hoes gotta have me my boats n hoes	OFF
	Bobby bitch	OFF
	Bobby bitch dropping in five minutes though  Let that sink in  #128588  #128588 	OFF
	Bobby bitch gt Hot nigga	OFF
	Bobby bitch Dickhead  #8220 @OprahSideNigga  TOP 3 BOBBY SHMURDA SONGS  1 HOT NIGGA 2 3 #8221 	OFF
	Bobby stole the black from Gabby Pedro  But she kept all the ghetto #LifeMade	OFF
	Bomb your house  Then fuck your bitch All hail Al Qaeda	OFF
	Bond had the hoes and the money Bourne kicked ass no gadgets hawk always let a bitch die	OFF
	Boney ass bitch farting out mini basketballs  #128514 	OFF
	Boosie ran this hoe	OFF
	Boozer so trash	OFF
	Bored then a hoe in the auditorium  #128557  #128299  hmu http //tco/V8tgqHEAg8	OFF
	Bored then a hoe Listening to these fuck ass adults lecturing us with @__vercetti http //tco/NyBO16RMsh	OFF
	Boss ass bitch remix  #128514  #128514  #128557  https //tco/jxGBWZ8bHo	OFF
	Bossd up on my old hoes	OFF
	Boston's Jihadi Nest and Student Arm of the Muslim Brotherhood  #187  Joe For America http //tco/4IfJwoeSDR via @RealJTP	NOT
	Both but that was the old me lol RT @KandyYAMMSZ U be havin bitches on deck for the sex or it's a new joint every time	OFF
	Both of my bitches drive range rovers	OFF
	Both of them hoes losers and need to hit the gym	OFF
	Both trash but I guess they got tired of Chalmers trash starting RT @EverybodyHatesX  How chalmers lose his job to Norris Cole Lmfaoooo	OFF
	Both y'all pussy son beat it http //tco/cbnjo5WJ	OFF
	Bought that bitch mozzarella sticks Bitches love mozzarella sticks	OFF
	Bought these bitches breakfast and now getting kissed on my cheeks non stoplol Check out is literally in 5 mins tho	OFF
	Bought this Lp in Manchester the other week  had no idea it was coloured vinyl Man what a steal #VinylGasm #Re-Machined	NOT
	Bout tht time where the hoes are gettin dicked down	OFF
	Bout to bust this bitch wide open Such a waste of money	OFF
	Bout to dub dis bitch	OFF
	Bout to get a breasts reduction these bitches be in the way #128530 	OFF
	Bout to make some brownies in a few	NOT
	Bout to put me some hoes on backpage  Try my pimp hand out  #128526  #128075  #128162 	OFF
	Bout to smoke a 35 n dis bitch  #Pollution	OFF
